time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,phase_switched
640,B1,2,73.0,23.0,50.0,0
640,B2,0,48.0,41.0,7.0,0
640,C1,0,25.0,16.0,9.0,0
650,A1,0,80.0,78.0,2.0,0
650,B0,0,87.0,43.0,44.0,0
650,B1,2,35.0,4.0,31.0,0
650,B2,0,56.0,35.0,21.0,0
650,C1,0,45.0,42.0,3.0,0
660,A1,2,82.0,81.0,1.0,1
660,B0,0,80.0,58.0,22.0,0
660,B1,1,0.0,0.0,0.0,1
660,B2,0,55.0,37.0,18.0,0
660,C1,0,64.0,64.0,0.0,0
670,A1,0,101.0,78.0,23.0,1
670,B0,0,71.0,58.0,13.0,0
670,B1,1,0.0,0.0,0.0,1
670,B2,0,47.0,37.0,10.0,0
670,C1,2,63.0,59.0,4.0,1
680,A1,0,86.0,71.0,15.0,0
680,B0,0,62.0,50.0,12.0,0
680,B1,0,30.0,21.0,9.0,1
680,B2,0,36.0,27.0,9.0,0
680,C1,0,75.0,58.0,17.0,1
690,A1,0,83.0,76.0,7.0,0
690,B0,0,70.0,54.0,16.0,0
690,B1,0,42.0,25.0,17.0,0
690,B2,0,56.0,14.0,42.0,0
690,C1,0,58.0,26.0,32.0,0
700,A1,2,83.0,78.0,5.0,1
700,B0,0,75.0,59.0,16.0,0
700,B1,0,33.0,28.0,5.0,0
700,B2,0,44.0,13.0,31.0,0
700,C1,0,59.0,35.0,24.0,0
710,A1,2,68.0,66.0,2.0,0
710,B0,0,84.0,61.0,23.0,0
710,B1,2,52.0,41.0,11.0,1
710,B2,0,50.0,10.0,40.0,0
710,C1,0,58.0,37.0,21.0,0
720,A1,0,67.0,46.0,21.0,1
720,B0,0,80.0,62.0,18.0,0
720,B1,2,76.0,42.0,34.0,0
720,B2,0,56.0,27.0,29.0,0
720,C1,0,56.0,42.0,14.0,0
730,A1,0,56.0,37.0,19.0,0
730,B0,0,90.0,62.0,28.0,0
730,B1,2,81.0,45.0,36.0,0
730,B2,0,43.0,27.0,16.0,0
730,C1,2,47.0,44.0,3.0,1
740,A1,2,40.0,38.0,2.0,1
740,B0,0,96.0,70.0,26.0,0
740,B1,2,82.0,52.0,30.0,0
740,B2,0,36.0,18.0,18.0,0
740,C1,2,49.0,45.0,4.0,0
750,A1,2,34.0,32.0,2.0,0
750,B0,0,113.0,75.0,38.0,0
750,B1,2,90.0,72.0,18.0,0
750,B2,0,36.0,13.0,23.0,0
750,C1,0,79.0,53.0,26.0,1
760,A1,0,35.0,28.0,7.0,1
760,B0,0,128.0,82.0,46.0,0
760,B1,2,100.0,72.0,28.0,0
760,B2,0,35.0,13.0,22.0,0
760,C1,0,84.0,58.0,26.0,0
770,A1,2,28.0,4.0,24.0,1
770,B0,0,118.0,77.0,41.0,0
770,B1,2,85.0,68.0,17.0,0
770,B2,0,40.0,13.0,27.0,0
770,C1,0,94.0,67.0,27.0,0
780,A1,2,23.0,19.0,4.0,0
780,B0,0,107.0,71.0,36.0,0
780,B1,2,90.0,74.0,16.0,0
780,B2,0,41.0,15.0,26.0,0
780,C1,0,91.0,64.0,27.0,0
790,A1,0,28.0,21.0,7.0,1
790,B0,0,101.0,73.0,28.0,0
790,B1,2,88.0,72.0,16.0,0
790,B2,0,46.0,16.0,30.0,0
790,C1,0,83.0,59.0,24.0,0
800,A1,0,19.0,17.0,2.0,0
800,B0,0,95.0,57.0,38.0,0
800,B1,0,87.0,77.0,10.0,1
800,B2,0,58.0,22.0,36.0,0
800,C1,0,96.0,69.0,27.0,0
810,A1,0,31.0,20.0,11.0,0
810,B0,0,70.0,58.0,12.0,0
810,B1,2,88.0,80.0,8.0,1
810,B2,0,58.0,22.0,36.0,0
810,C1,0,89.0,63.0,26.0,0
820,A1,0,20.0,20.0,0.0,0
820,B0,2,52.0,36.0,16.0,1
820,B1,2,100.0,81.0,19.0,0
820,B2,0,58.0,22.0,36.0,0
820,C1,0,85.0,59.0,26.0,0
830,A1,0,15.0,14.0,1.0,0
830,B0,0,40.0,9.0,31.0,1
830,B1,2,119.0,117.0,2.0,0
830,B2,0,50.0,18.0,32.0,0
830,C1,0,85.0,59.0,26.0,0
840,A1,0,33.0,23.0,10.0,0
840,B0,0,20.0,-14.0,34.0,0
840,B1,0,135.0,117.0,18.0,1
840,B2,0,46.0,16.0,30.0,0
840,C1,0,88.0,62.0,26.0,0
