time,tls,selected_phase,max_queue,avg_queue,phase_switched
1155,A1,1,38,16.5,1
1155,B1,1,37,33.625,1
1157,B2,1,34,11.666666666666666,1
1157,C1,3,37,19.833333333333332,1
1158,B0,3,33,15.166666666666666,1
1170,A1,3,38,16.666666666666668,1
1170,B1,3,37,33.5,1
1172,B2,3,35,12.5,1
1172,C1,1,37,18.5,1
1173,B0,1,30,13.333333333333334,1
1185,A1,1,38,17,1
1185,B1,1,37,34.25,1
1187,B2,1,33,12.166666666666666,1
1187,C1,3,38,19.833333333333332,1
1188,B0,3,35,14.666666666666666,1
1200,A1,3,38,16.833333333333332,1
1200,B1,3,37,34.25,1
1202,B2,3,33,11.666666666666666,1
1202,C1,1,38,21,1
1203,B0,1,33,15.5,1
1215,A1,1,38,15.166666666666666,1
1215,B1,1,37,34.625,1
1217,B2,1,35,12,1
1217,C1,3,38,21,1
1218,B0,3,33,16.5,1
1230,A1,3,38,13.333333333333334,1
1230,B1,3,37,35,1
1232,B2,3,36,13,1
1232,C1,1,38,21,1
1233,B0,1,36,16.333333333333332,1
1245,A1,1,38,13.166666666666666,1
1245,B1,1,37,33.875,1
1247,B2,1,29,9.666666666666666,1
1247,C1,3,38,21,1
1248,B0,3,31,16.5,1
