time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,beta,gamma,phase_switched
273,B0,2,66.9,63.9,3.000000000000007,45,37.5,0.3,0.5,1
273,B1,2,81.43168316831682,50.80224719101123,30.62943597730559,6,3.0,0.43564356435643564,0.1,0
274,B1,2,83.88465346534653,60.82311827956989,23.06153518577664,9,4.5,0.4158415841584158,0.15,0
275,B1,2,81.90515463917527,69.02105263157895,12.884102007596312,12,6.0,0.41237113402061853,0.2,0
276,A1,0,3.6999999999999984,0.0,3.6999999999999984,3,2.5,0.9,0.1,1
276,B1,2,87.52551020408163,76.70833333333333,10.817176870748298,15,7.5,0.3673469387755102,0.25,0
277,B1,2,96.17669902912621,92.23653846153847,3.940160567587739,18,9.0,0.3300970873786408,0.3,0
278,B1,2,102.35,97.25566037735848,5.094339622641513,21,10.5,0.3333333333333333,0.35,0
279,B1,0,108.56396396396397,106.51666666666668,2.047297297297291,24,12.0,0.3153153153153153,0.4,1
280,C1,2,6.633333333333332,0.0,6.633333333333332,3,2.5,0.8333333333333334,0.1,1
287,B2,0,28.704761904761906,0.0,28.704761904761906,3,2.5,0.5476190476190477,0.1,1
288,B0,0,57.599999999999994,4.55,53.05,3,2.5,0.3,0.1,1
291,A1,2,1.8,0.0,1.8,3,2.5,0.9,0.1,1
294,B1,2,142.9,60.8,82.10000000000001,3,1.5,0.3,0.1,1
295,C1,0,18.1974358974359,0.0,18.1974358974359,3,2.5,0.717948717948718,0.1,1
302,B2,2,15.8,6.233333333333333,9.566666666666666,3,2.5,0.5,0.1,1
303,B0,0,27.53529411764706,22.47241379310345,5.06288032454361,3,2.5,0.4117647058823529,0.1,0
304,B0,2,26.982352941176472,19.564285714285717,7.418067226890756,6,5,0.4411764705882353,0.1,1
306,A1,0,20.3,0.0,20.3,3,2.5,0.4,0.1,1
309,B1,0,71.48823529411764,63.819480519480514,7.668754774637129,3,1.5,0.38823529411764707,0.1,1
310,C1,0,13.014285714285714,1.3,11.714285714285714,3,2.5,0.7142857142857143,0.1,0
311,C1,0,21.277419354838713,8.463636363636363,12.81378299120235,6,5,0.5483870967741935,0.1,0
312,C1,0,24.820588235294117,7.622727272727271,17.197860962566846,9,7.5,0.5294117647058824,0.15,0
313,C1,0,25.870588235294115,14.938461538461539,10.932126696832576,12,10,0.5294117647058824,0.2,0
314,C1,0,28.25,16.189999999999998,12.060000000000002,15,12.5,0.5,0.25,0
315,C1,0,37.175,17.84,19.334999999999997,18,15,0.425,0.3,0
