time,tls,selected_phase,pressure_best,pressure_second,pressure_gap,max_age,avg_age,phase_switched
88,A1,0,29.9,20.4,9.5,72,34,0
89,A1,0,40.0,24.0,16.0,90,42.5,0
90,A1,0,44.4,30.599999999999998,13.8,108,51,0
91,A1,0,52.099999999999994,34.2,17.89999999999999,126,59.5,0
91,B1,0,20.900000000000002,0.0,20.900000000000002,26,13,1
92,A1,0,55.5,38.099999999999994,17.400000000000006,144,68,0
93,A1,0,56.900000000000006,40.7,16.200000000000003,162,76.5,0
94,A1,0,58.6,44.3,14.300000000000004,180,85,0
95,A1,0,64.0,48.2,15.799999999999997,198,93.5,0
95,B0,2,19.9,4.699999999999999,15.2,18,8.5,1
95,C1,2,21.9,4.699999999999999,17.2,18,8.5,1
96,A1,0,68.1,51.5,16.599999999999994,216,102,0
97,A1,0,68.8,55.099999999999994,13.700000000000003,234,110.5,0
98,A1,0,74.89999999999999,59.7,15.199999999999989,252,119,0
99,A1,0,81.3,63.3,18.0,270,127.5,0
100,A1,0,84.99999999999999,66.19999999999999,18.799999999999997,288,136,0
100,B2,0,16.0,2.1999999999999997,13.8,18,8.5,1
101,A1,0,90.39999999999999,70.8,19.599999999999994,306,144.5,0
102,A1,0,95.10000000000001,72.7,22.400000000000006,324,153,0
103,A1,0,100.5,76.3,24.200000000000003,342,161.5,0
104,A1,0,105.9,81.9,24.0,360,170,0
105,A1,0,113.6,83.8,29.799999999999997,378,178.5,0
106,A1,0,120.0,87.4,32.599999999999994,396,187,0
106,B1,2,19.400000000000002,14.400000000000002,5.0,26,13,1
107,A1,0,127.39999999999999,92.0,35.39999999999999,414,195.5,0
108,A1,0,133.5,98.3,35.2,432,204,0
109,A1,0,140.6,103.6,37.0,450,212.5,0
110,A1,0,147.3,107.5,39.80000000000001,468,221,0
110,B0,0,13.599999999999998,1.5,12.099999999999998,18,8.5,1
110,C1,0,16.0,2.1999999999999997,13.8,18,8.5,1
115,B2,2,26.200000000000003,13.0,13.200000000000003,18,8.5,1
121,B1,0,16.3,0.0,16.3,26,13,1
125,A1,2,34.8,5.6,29.199999999999996,18,8.5,1
125,B0,2,25.6,5.3999999999999995,20.200000000000003,18,8.5,1
125,C1,0,10.899999999999999,8.8,2.099999999999998,18,8.5,0
126,C1,0,14.7,14.1,0.5999999999999996,36,17,0
127,C1,0,15.7,15.299999999999999,0.40000000000000036,54,25.5,0
128,C1,2,17.5,16.7,0.8000000000000007,72,34,1
130,B2,0,25.9,13.799999999999999,12.1,18,8.5,1
136,B1,2,64.3,2.8,61.5,26,13,1
140,A1,0,31.2,0.6,30.599999999999998,18,8.5,1
140,B0,0,31.7,4.8999999999999995,26.8,18,8.5,1
143,C1,0,14.099999999999998,0.0,14.099999999999998,18,8.5,1
145,B2,2,25.5,12.3,13.2,18,8.5,1
151,B1,0,17.000000000000004,11.100000000000001,5.900000000000002,26,13,1
155,A1,2,36.800000000000004,11.6,25.200000000000003,18,8.5,1
155,B0,2,27.799999999999997,15.599999999999998,12.2,18,8.5,1
158,C1,0,17.4,12.6,4.799999999999999,18,8.5,0
159,C1,0,23.4,14.8,8.599999999999998,36,17,0
160,B2,0,30.0,14.2,15.8,18,8.5,1
160,C1,0,30.1,23.4,6.700000000000003,54,25.5,0
161,C1,0,36.8,24.6,12.199999999999996,72,34,0
162,C1,0,41.2,28.200000000000003,13.0,90,42.5,0
163,C1,0,50.9,32.8,18.1,108,51,0
164,C1,0,58.3,34.7,23.599999999999994,126,59.5,0
165,C1,0,62.0,37.599999999999994,24.400000000000006,144,68,0
166,B1,2,63.4,0.40000000000000124,63.0,26,13,1
166,C1,0,72.4,42.9,29.500000000000007,162,76.5,0
167,C1,0,78.2,46.2,32.0,180,85,0
168,C1,0,85.0,48.2,36.8,198,93.5,0
169,C1,0,90.69999999999999,49.099999999999994,41.599999999999994,216,102,0
170,A1,0,25.0,0.0,25.0,18,8.5,1
170,B0,0,30.599999999999998,1.7999999999999998,28.799999999999997,18,8.5,1
170,C1,0,94.4,49.0,45.400000000000006,234,110.5,0
171,C1,0,104.6,55.4,49.199999999999996,252,119,0
172,C1,0,112.7,60.7,52.0,270,127.5,0
173,C1,0,115.19999999999999,65.39999999999999,49.8,288,136,0
174,C1,0,119.69999999999999,74.1,45.599999999999994,306,144.5,0
175,B2,2,25.299999999999997,0.0,25.299999999999997,18,8.5,1
175,C1,0,124.1,78.7,45.39999999999999,324,153,0
176,C1,0,125.19999999999999,85.0,40.19999999999999,342,161.5,0
177,C1,0,127.6,88.6,39.0,360,170,0
178,C1,0,129.29999999999998,94.5,34.79999999999998,378,178.5,0
179,C1,0,135.4,101.80000000000001,33.599999999999994,396,187,0
180,C1,0,138.5,106.1,32.400000000000006,414,195.5,0
181,B1,0,16.8,0.0,16.8,26,13,1
181,C1,0,145.2,110.0,35.19999999999999,432,204,0
182,C1,0,147.9,111.9,36.0,450,212.5,0
183,C1,0,150.3,115.5,34.80000000000001,468,221,0
185,A1,2,32.2,16.0,16.200000000000003,18,8.5,1
185,B0,0,28.7,26.9,1.8000000000000007,18,8.5,0
186,B0,2,33.5,28.1,5.399999999999999,36,17,1
190,B2,0,36.9,2.0999999999999996,34.8,18,8.5,1
196,B1,2,42.5,2.200000000000002,40.3,26,13,1
198,C1,2,35.6,0.0,35.6,18,8.5,1
200,A1,0,28.4,0.0,28.4,18,8.5,1
201,B0,0,24.4,18.6,5.799999999999997,18,8.5,1
205,B2,2,29.9,12.7,17.2,18,8.5,1
211,B1,0,37.2,0.0,37.2,26,13,1
213,C1,0,35.0,8.2,26.8,18,8.5,1
215,A1,2,24.9,14.7,10.2,18,8.5,1
216,B0,2,30.1,16.9,13.200000000000003,18,8.5,1
220,B2,0,37.4,0.5999999999999996,36.8,18,8.5,1
226,B1,2,67.5,23.3,44.2,26,13,1
228,C1,2,19.1,17.9,1.2000000000000028,18,8.5,1
230,A1,0,20.7,0.0,20.7,18,8.5,1
231,B0,0,30.799999999999997,0.0,30.799999999999997,18,8.5,1
235,B2,2,14.299999999999999,10.399999999999999,3.9000000000000004,18,8.5,1
241,B1,0,62.0,18.900000000000002,43.099999999999994,26,13,1
243,C1,0,25.5,1.7000000000000002,23.8,18,8.5,1
245,A1,2,23.299999999999997,17.099999999999998,6.199999999999999,18,8.5,1
246,B0,2,22.4,16.2,6.199999999999999,18,8.5,1
250,B2,0,40.4,4.1,36.3,18,8.5,1
256,B1,2,80.0,17.000000000000004,63.0,26,13,1
258,C1,2,15.700000000000001,14.5,1.200000000000001,18,8.5,1
260,A1,0,30.0,0.0,30.0,18,8.5,1
261,B0,0,24.299999999999997,10.5,13.799999999999997,18,8.5,1
265,B2,2,22.700000000000003,19.5,3.200000000000003,18,8.5,1
271,B1,0,48.8,30.6,18.199999999999996,26,13,1
273,C1,0,39.1,1.2999999999999998,37.800000000000004,18,8.5,1
275,A1,2,31.200000000000003,20.3,10.900000000000002,18,8.5,1
276,B0,0,31.799999999999997,23.0,8.799999999999997,18,8.5,0
277,B0,0,27.799999999999997,24.9,2.8999999999999986,36,17,0
278,B0,0,32.5,31.799999999999997,0.7000000000000028,54,25.5,0
279,B0,2,39.4,37.599999999999994,1.8000000000000043,72,34,1
280,B2,0,31.7,0.0,31.7,18,8.5,1
286,B1,2,64.9,39.3,25.60000000000001,26,13,1
288,C1,0,16.1,14.3,1.8000000000000007,18,8.5,0
289,C1,0,24.5,20.9,3.6000000000000014,36,17,0
290,A1,0,28.299999999999997,4.5,23.799999999999997,18,8.5,1
290,C1,0,34.3,25.9,8.399999999999999,54,25.5,0
291,C1,0,43.7,32.5,11.200000000000003,72,34,0
292,C1,0,52.5,37.5,15.0,90,42.5,0
293,C1,0,59.2,48.099999999999994,11.100000000000009,108,51,0
294,B0,0,33.5,2.700000000000001,30.799999999999997,18,8.5,1
294,C1,0,63.3,48.7,14.599999999999994,126,59.5,0
295,B2,2,19.0,17.8,1.1999999999999993,18,8.5,1
295,C1,0,71.0,54.599999999999994,16.400000000000006,144,68,0
296,C1,0,70.30000000000001,61.5,8.800000000000011,162,76.5,0
297,C1,0,77.2,69.2,8.0,180,85,0
298,C1,0,83.3,76.5,6.799999999999997,198,93.5,0
299,C1,0,85.0,81.1,3.9000000000000057,216,102,0
300,C1,0,90.80000000000001,89.4,1.4000000000000057,234,110.5,0
301,B1,0,80.1,26.000000000000004,54.099999999999994,26,13,1
301,C1,2,97.1,96.3,0.7999999999999972,252,119,1
305,A1,2,17.200000000000003,6.000000000000001,11.200000000000003,18,8.5,1
309,B0,2,22.800000000000004,7.6000000000000005,15.200000000000003,18,8.5,1
310,B2,0,36.0,0.0,36.0,18,8.5,1
316,B1,2,99.1,46.599999999999994,52.5,26,13,1
316,C1,0,37.300000000000004,0.0,37.300000000000004,18,8.5,1
320,A1,0,37.9,4.1,33.8,18,8.5,1
324,B0,0,34.6,4.2,30.400000000000002,18,8.5,1
325,B2,0,18.5,12.700000000000001,5.799999999999999,18,8.5,0
326,B2,0,13.5,12.899999999999999,0.6000000000000014,36,17,0
327,B2,2,19.799999999999997,18.2,1.5999999999999979,54,25.5,1
331,B1,0,83.1,39.9,43.199999999999996,26,13,1
331,C1,0,41.9,15.1,26.799999999999997,18,8.5,0
332,C1,0,45.3,17.7,27.599999999999998,36,17,0
333,C1,0,53.0,23.6,29.4,54,25.5,0
334,C1,0,59.0,29.799999999999997,29.200000000000003,72,34,0
335,A1,0,51.199999999999996,25.4,25.799999999999997,18,8.5,0
335,C1,0,58.7,35.7,23.0,90,42.5,0
336,A1,0,45.099999999999994,32.9,12.199999999999996,36,17,0
336,C1,0,67.1,41.3,25.799999999999997,108,51,0
337,A1,0,49.900000000000006,40.5,9.400000000000006,54,25.5,0
337,C1,0,70.5,44.900000000000006,25.599999999999994,126,59.5,0
338,A1,0,54.89999999999999,44.4,10.499999999999993,72,34,0
338,C1,0,69.8,50.4,19.4,144,68,0
339,A1,0,63.3,48.3,15.0,90,42.5,0
339,B0,2,20.6,17.7,2.900000000000002,18,8.5,1
339,C1,0,75.9,56.7,19.200000000000003,162,76.5,0
340,A1,0,60.7,54.89999999999999,5.800000000000011,108,51,0
340,C1,0,82.9,58.900000000000006,24.0,180,85,0
341,A1,0,68.6,59.0,9.599999999999994,126,59.5,0
341,C1,0,92.0,67.2,24.799999999999997,198,93.5,0
342,A1,0,77.0,66.6,10.400000000000006,144,68,0
342,B2,0,55.5,6.8999999999999995,48.6,18,8.5,1
342,C1,0,101.4,69.8,31.60000000000001,216,102,0
343,A1,0,75.7,69.5,6.200000000000003,162,76.5,0
343,C1,0,107.4,72.0,35.400000000000006,234,110.5,0
344,A1,0,82.7,72.7,10.0,180,85,0
344,C1,0,110.0,75.8,34.2,252,119,0
345,A1,0,93.4,75.6,17.80000000000001,198,93.5,0
345,C1,0,117.1,83.1,34.0,270,127.5,0
346,A1,0,93.5,82.9,10.599999999999994,216,102,0
346,B1,2,62.9,23.000000000000004,39.89999999999999,26,13,1
346,C1,0,122.19999999999999,91.39999999999999,30.799999999999997,288,136,0
347,A1,0,104.2,86.8,17.400000000000006,234,110.5,0
347,C1,0,129.9,94.3,35.60000000000001,306,144.5,0
348,A1,0,117.39999999999999,95.19999999999999,22.200000000000003,252,119,0
348,C1,0,139.7,99.3,40.39999999999999,324,153,0
349,A1,0,119.7,96.7,23.0,270,127.5,0
349,C1,0,145.8,104.6,41.20000000000002,342,161.5,0
350,A1,0,126.39999999999999,101.6,24.799999999999997,288,136,0
350,C1,0,148.2,108.2,39.999999999999986,360,170,0
351,A1,0,134.1,104.5,29.599999999999994,306,144.5,0
351,C1,0,152.3,112.5,39.80000000000001,378,178.5,0
352,A1,0,139.6,109.19999999999999,30.400000000000006,324,153,0
352,C1,0,160.1,119.5,40.599999999999994,396,187,0
353,A1,0,148.6,113.39999999999999,35.2,342,161.5,0
353,C1,0,162.79999999999998,121.4,41.39999999999998,414,195.5,0
354,A1,0,156.1,119.1,37.0,360,170,0
354,B0,0,49.8,5.0,44.8,18,8.5,1
354,C1,0,181.3,129.1,52.20000000000002,432,204,0
355,A1,0,157.1,124.3,32.8,378,178.5,0
355,C1,0,173.6,129.6,44.0,450,212.5,0
356,A1,0,163.2,128.6,34.599999999999994,396,187,0
356,C1,0,178.10000000000002,139.3,38.80000000000001,468,221,0
357,A1,0,172.0,136.6,35.400000000000006,414,195.5,0
357,B2,0,28.7,18.9,9.8,18,8.5,0
358,A1,0,177.0,140.79999999999998,36.20000000000002,432,204,0
358,B2,0,38.1,25.5,12.600000000000001,36,17,0
359,A1,0,186.8,143.8,43.0,450,212.5,0
359,B2,0,43.8,29.4,14.399999999999999,54,25.5,0
360,A1,0,188.2,148.39999999999998,39.80000000000001,468,221,0
360,B2,0,50.8,33.6,17.199999999999996,72,34,0
361,B1,2,37.5,36.2,1.2999999999999972,26,13,0
361,B2,0,61.2,32.2,29.0,90,42.5,0
362,B1,2,44.6,43.00000000000001,1.5999999999999943,52,26,0
362,B2,0,69.3,37.5,31.799999999999997,108,51,0
363,B1,0,51.7,48.00000000000001,3.6999999999999957,78,39,1
363,B2,0,75.0,40.4,34.6,126,59.5,0
364,B2,0,84.1,44.699999999999996,39.4,144,68,0
365,B2,0,89.9,52.7,37.2,162,76.5,0
366,B2,0,97.3,60.3,37.0,180,85,0
367,B2,0,97.0,66.2,30.799999999999997,198,93.5,0
368,B2,0,101.5,71.89999999999999,29.60000000000001,216,102,0
